Player Practice Stats, , , , , 
11112244,Colby Montoya,M1,4, ,80
 , ,M3,0, ,26
 , , , , , 
4467621,Isabella-Rose Giles,M1,1, ,51
 , ,M3,4, ,73
 , ,M5,3, ,45
 , , , , , 
446872,Gurleen Edwards,M1,3, ,91
 , ,M3,4, ,46
 , , , , , 
6634556,Tyriq Crouch,M1,0, ,16
 , ,M3,3, ,21
 , , , , , 
33254,Ray Novak,M1,4, ,55
 , ,M3,0, ,30
 , ,M5,1, ,78
 , , , , , 
3678511,Gracie-Leigh Worthington,M1,3, ,52
 , ,M2,1, ,35
 , , , , , 
159687,Sharna Quinn,M1,2, ,91
 , ,M3,1, ,52
 , , , , , 
35764158,Ignacy Heaton,M1,0, ,98
 , , , , , 
998621,Brandon Reese,M1,3, ,93
 , ,M3,4, ,5
 , , , , , 
41545,Nadine Sawyer,M1,0, ,43
 , ,M2,4, ,97
 , ,M3,2, ,42
 , ,M5,3, ,61
 , , , , , 
4121,Hoorain Aguilar,M1,4, ,11
 , ,M3,1, ,92
 , ,M5,2, ,81
 , ,M6,4, ,7
 , , , , , 
744565,Phebe Lacey,M1,3, ,56
 , , , , , 
565,Liam Everett,M1,0, ,12
 , ,M3,0, ,1
 , , , , , 
78632,Rachael Roche,M1,0, ,6
 , ,M3,4, ,57
 , ,M5,3, ,45
 , , , , , 
6631,Trey Bourne,M1,3, ,99
 , ,M3,1, ,11
 , ,M5,3, ,57
 , , , , , 
45454,Maira Fowler,M1,3, ,96
 , ,M3,4, ,14
 , , , , , 
89859859,Benedict Larsen,M1,0, ,37
 , , , , , 
2222,Kylo Prince,M1,1, ,97
 , , , , , 
4545,Allegra Bradford,M1,2, ,46
 , ,M3,3, ,97
 , , , , , 
4124,Sylvie Bell,M1,4, ,93
 , ,M3,4, ,87
 , , , , , 
54545,Osman Sanchez,M1,0, ,56
 , ,M3,2, ,72
 , , , , , 
54545,Arda Thornton,M1,3, ,30
 , ,M3,1, ,100
 , , , , , 
 , , , , , 
 , , , , , 
454857,Iyla Massey,M1,4, ,75
 , ,M3,1, ,33
 , , , , , 
535767,Arnie Newton,M1,3, ,71
 , , , , , 
54575,Glenda Perry,M1,1, ,39
 , , , , , 
4577744145,Yasmin Jones,M1,4, ,19
 , ,M3,2, ,54
 , , , , , 
4563456,Christina Donald,M1,0, ,4
 , ,M3,0, ,67
 , , , , , 
 , , , , , 
45678,Usman Espinoza,M1,3, ,67
 , ,M3,2, ,70
 , , , , , 
63788788,Robyn Reese,M1,2, ,0
 , ,M3,4, ,74
 , , , , , 
65463123,Letitia Hartley,M1,4, ,43
 , , , , , 
4563453645,Kelis Melia,M1,2, ,64
 , , , , , 
44446456,Bronwen Suarez,M3,3, ,69
 , , , , , 
42,Micheal Dawson,M5,0, ,27
 , , , , , 
4567856,Julian Chang,M1,1, ,38
 , ,M3,0, ,78
 , , , , , 
5622,Jiya Singh,M1,3, ,29
 , , , , , 
4565665,Barnaby King,M1,2, ,54
 , ,M3,0, ,45
 , , , , , 
9785223,Omari Kouma,M1,0, ,98
 , , , , , 
7845522,Tori Knowles,M1,2, ,54
 , , , , , 
787511,Raj Webb,M1,1, ,89
 , ,M2,4, ,31
 , ,M3,0, ,92
 , ,M4,1, ,19
 , , , , , 
 ,Gran Total Stats of All the above players, ,268, ,9434
